parent,definition,children,translation,label
Bahrainian monetary unit,monetary unit in Bahrain,Bahrain dinar,Бахрейнский динар,-1
lattice,an arrangement of points or particles or objects in a regular periodic pattern in 2 or 3 dimensions,space lattice,пространственная решетка,-1
spiderflower,any of various often strong-smelling plants of the genus Cleome having showy spider-shaped flowers,"spider flower,Rocky Mountain bee plant","цветок паука, пчелиное растение Скалистых гор",-1
coelenterate,-,jellyfish,Jellyfish,-1
workbasket,container for holding implements and materials for work (especially for sewing),sewing basket,швейная корзина,-1
trough,a narrow depression (as in the earth or between ocean waves or in the ocean bed),swale,Трясина,-1
mystic,someone who believes in the existence of realities beyond human comprehension,quietist,quietist,-1
mollusk,-,scaphopod,скапхопод,-1
internal-combustion engine,-,rotary engine,Роторный двигатель.,-1
epilepsy,-,reflex epilepsy,BETTOLEPSIIA,-1
supporting tower,a tower that serves to support something,trestle,ощора трубощровода,-1
possibility,a possible alternative,possible,возможно,-1
seed stock,a supply of seeds (or tubers) reserved for planting,seed corn,seed-corn,-1
lesbianism,female homosexuality,tribadism,Трибадизм,-1
body covering,-,protective covering,Защитное покрытие.,-1
pipe,a tube with a small bowl at one end; used for smoking tobacco,"briar,calabash,hookah,calumet,meerschaum","шиповник,калабаш,кальян, кальян,меершаум",-1
quad,(printing) a block of type without a raised letter; used for spacing between words or sentences,hair space,пространство для волос,-1
large intestine,beginning with the cecum and ending with the rectum; includes the cecum and the colon and the rectum; extracts moisture from food residues which are later excreted as feces,colon,двоеточие,-1
"athlete,player",a person trained to compete in sports,lacrosse player,игрок в лакросс,-1
hoarder,-,miser,Жмот. ,-1
drawstring,a tie consisting of a cord that goes through a seam around an opening,purse string,строка кошелька,-1
drop-leaf table,a table that has a drop-leaf to enlarge its surface,gateleg table,стол для ворот,-1
hydroxybutyric acid,hydroxy derivative of butyric acid,beta-hydroxybutyric acid,3-GIDROKSIBUTIRAT,-1
butt,a large cask (especially one holding a volume equivalent to 2 hogsheads or 126 gallons),water butt,Водохлеб,-1
claimant,someone who claims a benefit or right or title,Pretender,Претендент,-1
ground squirrel,any of various terrestrial burrowing rodents of Old and New Worlds; often destroy crops,"antelope squirrel,Arctic ground squirrel,suslik","белка-антилопа,арктическая суслик,суслик",-1
license,the act of giving a formal (usually written) authorization,"clearance,conge,toleration","клиренс,застой,переносимость",-1
"military vehicle,tracked vehicle",vehicle used by the armed forces,half track,полугусеничный ход ,-1
bottle,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped,"phial,beer bottle,gourd,carafe,carboy,catsup bottle,cruet,demijohn,ink bottle,pill bottle,pop bottle,smelling bottle,specimen bottle,whiskey bottle","флакон,пивная бутылка,тыква,графин,карбой,бутылка для кэтсапа, крюет,демиджон,чернильная бутылка, бутылка для таблеток,поп бутылка,пахнущая бутылка, бутылка для образцов, бутылка для виски",-1
"poet,laureate",a writer of poems (the term is usually reserved for writers of good poetry),poet laureate,поэт-лауреат,-1
colonnade,structure consisting of a row of evenly spaced columns,peristyle,Перистиль,-1
infantry,an army unit consisting of soldiers who fight on foot,paratroops,десантники,-1
joining,-,convergence,Сходимость,-1
impression,an outward appearance,"figure,image,mark,tout ensemble","фигура,изображение,марка, ансамбль tout",-1
electrolyte,a solution that conducts electricity,polyelectrolyte,Полиэлектролит,-1
ASCII text file,a text file that contains only ASCII characters without special formatting,source code,исходный код,-1
copper,any of various small butterflies of the family Lycaenidae having coppery wings,American copper,Американская медь,-1
section,(geometry) the area created by a plane cutting through a solid,cross section,поперечное сечение,-1
granulated sugar,sugar in the form of small grains,powdered sugar,сахарная пудра,-1
guest,a customer of a hotel or restaurant etc.,no-show,Не Показывать,-1
athlete,a person trained to compete in sports,"ball hawk,hooker,hurdler,lacrosse player,letterman,weightlifter,Olympian,pentathlete,vaulter,sharpshooter,shot putter,sport,striker,swinger,winger","ястреб,проститутка, барьер, игрок в лакросс,леттерман,тяжелоатлет,олимпийский чемпион,пятиборец,прыгун,снайпер,дробовик,спорт,нападающий,свингер,вингер",-1
friedcake,-,fritter,оладьи,-1
extraversion,(psychology) an extroverted disposition; concern with what is outside the self,outwardness,наружность,-1
analgesic,-,morphine,MORFIN,-1
spontaneous abortion,a natural loss of the products of conception,"habitual abortion,imminent abortion,incomplete abortion","привычный аборт,неизбежный аборт,неполный аборт",-1
drift,a general tendency to change (as of opinion),gravitation,Гравитация,-1
"strap,sharpener",an elongated leather strip (or a strip of similar material) for binding things together or holding something in position,strop,strop,-1
military vehicle,-,troop carrier,ПЕРЕВОЗЧИК ВОЙСК,-1
drop-leaf table,a table that has a drop-leaf to enlarge its surface,gateleg table,стол для ворот,-1
lobster,flesh of a lobster,"American lobster,European lobster","Американский омар,европейский омар",-1
liana,-,monstera,Monstera,-1
mooring,(nautical) a line that holds an object (especially a boat) in place,headfast,headfast,-1
military uniform,-,dress uniform,форма одежды,-1
income,-,personal income,Похожие:,-1
arrogance,-,snobbery,Сноб,-1
auxiliary verb,"a verb that combines with another verb in a verb phrase to help form tense, mood, voice, or condition of the verb it combines with",modal auxiliary verb,модальный вспомогательный глагол,-1
organ,a periodical that is published by a special interest group,house organ,Фирменные издания,-1
face mask,-,catcher's mask,маска ловителя,-1
attraction,the force by which one object attracts another,"affinity,van der Waal's forces","сродство, силы Ван-дер-Вааля",-1
stripe,a narrow marking of a different color or texture from the background,band,музыкальная группа,-1
endlessness,the property of being (or seeming to be) without end,continuousness,непрерывность,-1
timber,a beam made of wood,"coulisse,sternpost","coulisse,sternpost",-1
unrestraint,-,intemperance,невоздержанность,-1
football player,-,lineman,lineman,-1
absconder,a fugitive who runs away and hides to avoid arrest or prosecution,alien absconder,чужой absconder,-1
deposit,the phenomenon of sediment or gravel accumulating,lode,LODE,-1
enormousness,unusual largeness in size or extent or number,enormity,чудовищность,-1
spectator,-,spy,Балбастинг,-1
even-toed ungulate,-,swine,KABAN,-1
nest,a structure in which animals lay eggs or give birth to their young,"beehive,drey,mouse nest","улей,серая,мышиное гнездо",-1
liveliness,animation and energy in action or expression,"airiness,alacrity,breeziness,irrepressibility,elan,esprit,pep,pertness","воздушность, ловкость,бриз,неудержимость,элан,эсприт,пеп,пертнес",-1
canvas tent,a tent made of canvas fabric,"circus tent,field tent","цирковая палатка,полевая палатка",-1
English person,-,Londoner,Londoner,-1
gymnosperm,-,cycad,Саговниковидные,-1
margin,an amount beyond the minimum necessary,margin of safety,ПРОЧНАЯ ПРИБЫЛЬ ,-1
penalty,(games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game,game misconduct,игровой проступок,-1
ball,a spherical object used as a plaything,"beach ball,snowball","пляжный мяч,снежный ком",-1
"eagle,young bird",any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,eaglet,орленок,-1
change of integrity,-,transformation,преобразование,-1
promise,grounds for feeling hopeful about the future,rainbow,радуга,-1
comb,any of several tools for straightening fibers,hatchel,hatchel,-1
good person,-,benefactor,«Жертвователь»,-1
depository financial institution,-,thrift institution,сберегательное учреждение,-1
reversion,"(law) an interest in an estate that reverts to the grantor (or his heirs) at the end of some period (e.g., the death of the grantee)",escheat,зачисление бесхозяйного имущества в доход государства; переход выморочного имущества в собственность государства,-1
tax,-,transfer tax,налог на передачу,-1
mutant,(biology) an organism that has characteristics resulting from chromosomal alteration,freak,Урод,-1
blockage,an obstruction in a pipe or tube,"breechblock,vapor lock","затвор,паровой шлюз",-1
"holder,creditor",a person who holds something,mortgagee,залогодержатель; кредитор по закладной,-1
unwillingness,-,reluctance,Магнитное сопротивление /,-1
dance,a party for social dancing,"barn dance,hop,rave","танцы в амбаре,хоп,рейв",-1
hole,an opening into or through something,"bolt-hole,bullet hole,cranny,knothole,leak,ozone hole,perforation,rathole","болтовое отверстие,пулевое отверстие,трещина,нотовое отверстие,утечка,озоновое отверстие,перфорация, решеточноеотверстие",-1
"assistant,female child",a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,flower girl,цветочница,-1
manipulator,a person who handles things manually,twiddler,средне- и высокочастотный динамик,-1
pulse counter,an electronic counter that counts the number of electric pulses,scaler,&amp; Метод масштабирования,-1
nut tree,-,wing nut,Барашковая гайка,-1
index,a numerical scale used to compare variables with one another or with some reference number,margin of safety,ПРОЧНАЯ ПРИБЫЛЬ ,-1
T cell,a small lymphocyte developed in the thymus; it orchestrates the immune system's response to infected or malignant cells,helper T cell,KHELPERY-INDUKTORY T-LIMFOTSITY,-1
vertebrate paleontology,the paleontology of vertebrates,paleoanthropology,палеоантропология,-1
bleach,the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent),etiolation,DEETIOLIROVANIE,-1
motion-picture film,photographic film several hundred feet long and wound on a spool; to be used in a movie camera,sound film,Звуковое кино,-1
sandpiper,-,yellowlegs,желтоножки,-1
headdress,-,jewelled headdress,украшенный драгоценными камнями головной убор,-1
shard,a broken piece of a brittle artifact,potsherd,керамический череп,-1
bird's foot,the foot of a bird,"claw,heterodactyl foot","коготь,гетеродактильная стопа",-1
literary composition,-,poem,стихотворение,-1
field,(computer science) a set of one or more adjacent characters comprising a unit of information,bit field,битовое поле,-1
scorpaenid,-,scorpionfish,скорпена,-1
sexual activity,-,promiscuity,РАСПУТСТВО,-1
cocktail,a short mixed drink,"bullshot,gimlet,gin and it,grasshopper,Harvey Wallbanger,margarita,old fashioned,pink lady,planter's punch,Sazerac,screwdriver,sidecar,stinger,White Russian","bullshot,gimlet,gin and it,grasshopper,Harvey Wallbanger,margarita,old fashioned,pink lady, plantter 's punch,Sazerac,screwdriver,sidecar,stinger,White Russian",-1
dress,-,gown,халат,-1
weight,the vertical force exerted by a mass as a result of gravity,"dead weight,poundage,tare,throw-weight","собственный вес, фунт,тара,забрасываемый вес",-1
policeman,-,traffic cop,дорожный полицейский,-1
complement fixation test,a blood test in which a sample of serum is exposed to a particular antigen and complement in order to determine whether or not antibodies to that particular antigen are present; used as a diagnostic test,Wassermann test,Реакция Вассермана,-1
crackle,the sharp sound of snapping noises,decrepitation,дряблость,-1
Atlantic salmon,found in northern coastal Atlantic waters or tributaries; adults do not die after spawning,landlocked salmon,не имеющий выхода к морю лосось,-1
printer,(computer science) an output device that prints the results of data processing,dot matrix printer,матричный принтер,-1
respiratory tract,the passages through which air enters and leaves the body,lower respiratory tract,Нижние дыхательные пути,-1
artistic style,-,order,сортировать,-1
"philosophical doctrine,theological doctrine",a doctrine accepted by adherents to a philosophy,Neoplatonism,Неоплатонизм,-1
dogbane,any of several poisonous perennial plants of the genus Apocynum having acrid milky juice and bell-shaped white or pink flowers and a very bitter root,"common dogbane,Indian hemp,Rocky Mountain dogbane","обыкновенный догбейн,индийская конопля,догбейн Скалистых гор",-1
"acid,B-complex vitamin",any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt,pantothenic acid,PANTOTENOVAIA KISLOTA,-1
pipit,a songbird that lives mainly on the ground in open country; has streaky brown plumage,meadow pipit,луговая труба,-1
span,the complete duration of something,attention span,Объем внимания,-1
"pesticide,gas",a chemical used to kill pests (as rodents or insects),phosphine,фосфин,-1
deal,the type of treatment received (especially as the result of an agreement),fair deal,честная сделка,-1
current,a flow of electricity through a conductor,juice,сок,-1
die,a device used for shaping metal,stamp,ярлык,-1
tightening,the act of making something tighter,take-up,ПРИЕМНОЕ УСТРОЙСТВО,-1
"enzyme,coagulase",any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions,rennin,KHIMOZIN,-1
open-end wrench,a wrench having parallel jaws at fixed separation (often on both ends of the handle),S wrench,S-образный ключ,-1
football play,-,run,бегу,-1
articulation,the shape or manner in which things come together and a connection is made,esophagogastric junction,PISHCHEVODNO-ZHELUDOCHNOE SOEDINENIE,-1
fur seal,an eared seal of the northern Pacific,Alaska fur seal,Морской котик Аляски,-1
news agency,an agency to collects news reports for newspapers and distributes it electronically,syndicate,синдикат; консорциум,-1
masochist,someone who obtains pleasure from receiving punishment,flagellant,Флагелланты,-1
heterocyclic compound,a compound containing a heterocyclic ring,chelate,Хелаты,-1
mycobacteria,rod-shaped bacteria some saprophytic or causing diseases,leprosy bacillus,LEPRY MIKOBAKTERII,-1
time signature,a musical notation indicating the number of beats to a measure and kind of note that takes a beat,alla breve,alla breve,-1
pipet,measuring instrument consisting of a graduated glass tube used to measure or transfer precise volumes of a liquid by drawing the liquid up into the tube,dropper,пипетка,-1
Indian monetary unit,monetary unit in India,anna,anna,-1
unwelcome person,-,villain,злодей,-1
"paper,roofing material",a material made of cellulose pulp derived mainly from wood or rags or certain grasses,roofing paper,кровельная бумага,-1
masochist,someone who obtains pleasure from receiving punishment,flagellant,Флагелланты,-1
pistil,-,carpel,carpel,-1
acceptability,-,admissibility,Приемлемость,-1
pack animal,an animal (such as a mule or burro or horse) used to carry loads,packhorse,пакхорс,-1
rejoinder,a quick reply to a question or remark (especially a witty or critical one),sass,Sass,-1
fur seal,an eared seal of the northern Pacific,Alaska fur seal,Морской котик Аляски,-1
dormer window,the window in a gabled extension built to accommodate a window,oxeye,бычий глаз,-1
transcendental number,an irrational number that is not algebraic,"e,pi","e,pi",-1
rock,material consisting of the aggregate of minerals like those making up the Earth's crust,"aphanite,tufa,caliche,claystone,pudding stone,dolomite,emery stone,fieldstone,greisen,magma,matrix,pumice,quartzite,road metal,shingling,sial,sima","афанит,туф,калиш,глиняный камень,пудинг,доломит,наждачный камень,полевой камень,грайзен,магма,матрица,пемза,кварцит,дорожный металл,черепица,сиал,сима",-1
convenience food,-,ready-mix,Готовая смесь,-1
electronic instrument,a musical instrument that generates sounds electronically,"electric organ,theremin","электрический орган,терменвокс",-1
myeloma,a tumor of the bone marrow (usually malignant) composed of cells normally found in bone marrow,multiple myeloma,BOLEZN&apos; RUSTITSKOGO-KALERA,-1
bison,any of several large humped bovids having shaggy manes and large heads and short horns,"American bison,wisent","Американский бизон,мудрый",-1
sister,a female person who is a fellow member of a sorority or labor union or other group,Beguine,Бегин,-1
fruit bat,large Old World bat of warm and tropical regions that feeds on fruit,"Cynopterus sphinx,flying fox,harpy,Pteropus capestratus,Pteropus hypomelanus","Яванский сфинкс,летучая лисица,гарпия,Pteropus capestratus,Pteropus hypomelanus",-1
sugar,-,granulated sugar,сахарный песок,-1
crash,the act of colliding with something,impingement,имприджмент,-1
death camas,any of various plants of the genus Zigadenus having glaucous leaves and terminal racemes of mostly white flowers; all are poisonous,"alkali grass,grassy death camas","щелочная трава,травянистые камеры смерти",-1
silver,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,coin silver,монета серебро,-1
biomedicine,the branch of medical science that studies the ability of organisms to withstand environmental stress (as in space travel),aeromedicine,аэромедицина,-1
dry-wood termite,any of various termites that live in and feed on dry wood that is not connected with the soil,powder-post termite,порошково-постовый термитный,-1
family,an association of people who share common beliefs or activities,koinonia,koinonia,-1
gamble,money that is risked for possible monetary gain,stake,пакет акций; интерес; доля; пай; долевое участие (в капитале),-1
illness,-,toxemia of pregnancy,"GESTOZ, OPG",-1
understanding,-,insight,информация,-1
medical practitioner,-,medical officer,Медицинский сотрудник,-1
farmhand,a hired hand on a farm,"dairymaid,dairyman,farmerette,gleaner,picker,plowman,waterer,weeder","молочница,молочник,фермеретт,сборщик,сборщик,пахарь,поливальщик,сорняк",-1
representation,the act of representing; standing in for someone or some group and speaking with authority in their behalf,proportional representation,Пропорциональное представительство,-1
oppression,a feeling of being oppressed,weight,Масса,-1
appellate court,a court whose jurisdiction is to review decisions of lower courts or agencies,circuit court of appeals,окружной апелляционный суд,-1
loan,-,personal loan,"кредит физическому лицу (обычно без обеспечения); кредит без обеспечения (""под честное слово"")",-1
favor,an act of gracious kindness,turn,повернуть,-1
span,the complete duration of something,attention span,Объем внимания,-1
clothing,a covering designed to be worn on a person's body,"beachwear,black,blue,change,drag,togs,grey,knitwear,leisure wear,ready-to-wear,slip-on,slops,street clothes,tailor-made,vestiture","пляжная одежда,черный,синий, перетаскивание, тоги, серый, трикотаж,одежда для отдыха, готовая одежда,слипоны, шлепанцы,уличная одежда, по индивидуальному заказу,одежда",-1
Saxon,a member of a Germanic people who conquered England and merged with the Angles and Jutes to become Anglo-Saxons; dominant in England until the Norman Conquest,West Saxon,Западно-саксонская кухня,-1
aggressiveness,the quality of being bold and enterprising,"competitiveness,intrusiveness","конкурентоспособность,навязчивость",-1
mix,a commercially prepared mixture of dry ingredients,self-rising flour,самовосходящая мука,-1
golf stroke,-,approach,подхода,-1
entreaty,-,solicitation,Проведение тендера.,-1
news item,an item in a newspaper,factoid,Фактоид,-1
psychoactive drug,-,hallucinogen,ПСИХОДИСЛЕПТИЧЕСКИЕ ВЕЩЕСТВА,-1
onion roll,yeast-raised roll flavored with onion,bialy,bialy,-1
sensualist,-,wanton,Вонтоны,-1
chamois,a soft suede leather formerly from the skin of the chamois antelope but now from sheepskin,wash leather,выстирать кожу,-1
collection,a publication containing a variety of works,"archives,compilation","архивы,компиляция",-1
stinger,a sharp organ of offense or defense (as of a wasp or stingray or scorpion) often connected with a poison gland,aculeus,aculeus,-1
pistol,-,semiautomatic pistol,Semiautomatic pistol. ,-1
ballet position,classical position of the body and especially the feet in ballet,arabesque,ARABESQUE,-1
hearing,a session (of a committee or grand jury) in which witnesses are called and testimony is taken,confirmation hearing,Слушание по утверждению.,-1
storage medium,a medium for storing information,magnetic storage medium,магнитный носитель информации,-1
childhood,the time of person's life when they are a child,"boyhood,girlhood","юность,девичество",-1
Iroquois,any member of the warlike North American Indian peoples formerly living in New York State; the Iroquois League were allies of the British during the American Revolution,"Cayuga,Cherokee,Erie,Mohawk,Oneida,Onondaga,Seneca,Tuscarora","Каюга,Чероки,Эри,Мохок,Онейда,Онондага,Сенека,Тускарора",-1
nerve,-,spinal nerve,SPINNOMOZGOVYE NERVY,-1
punch,a tool for making holes or indentations,center punch,Кернер,-1
band,a range of frequencies between two limits,frequency band,диапазон частот,-1
jawless vertebrate,-,lamprey,MINOGI,-1
window shade,an opaque window blind that can cover or uncover a window,roller blind,Жалюзи,-1
rival,-,foe,Враг,-1
coach,(sports) someone in charge of training an athlete or a team,"basketball coach,conditioner,hockey coach,tennis coach","тренер по баскетболу,кондиционер, тренер по хоккею, тренер по теннису",-1
pillar,a fundamental principle or practice,pillar of Islam,столп ислама,-1
rondeau,a French verse form of 10 or 13 lines running on two rhymes; the opening phrase is repeated as the refrain of the second and third stanzas,rondelet,rondelet,-1
greeting,-,welcome,желанным гостем,-1
copper,any of various small butterflies of the family Lycaenidae having coppery wings,American copper,Американская медь,-1
edge tool,-,razor,бритва,-1
antiferromagnetism,magnetic field creates parallel but opposing spins; varies with temperature,ferrimagnetism,ферримагнетизм,-1
plot,the story that is told in a novel or play or movie etc.,"action,storyline","action,storyline",-1
inhalation anesthetic,-,ether,эфир,-1
category,a general concept that marks divisions or coordinations in a conceptual scheme,"pigeonhole,rubric,way","ячейка,рубрика,способ",-1
pesticide,-,insecticide,FOSFORORGANICHESKIE INSEKTITSIDY,-1
designation,the act of designating or identifying something,diagnosis,диагностика,-1
diffraction grating,optical device consisting of a surface with many parallel grooves in it; disperses a beam of light (or other electromagnetic radiation) into its wavelengths to produce its spectrum,echelon,Левый пеленг,-1
reveler,a celebrant who shares in a noisy party,roisterer,roisterer,-1
rich person,-,man of means,a man of means,-1
fan palm,-,palmetto,palmetto,-1
reference book,-,wordbook,wordbook,-1
instigator,someone who deliberately foments trouble,ringleader,Главарь,-1
enuresis,inability to control the flow of urine and involuntary urination,"bed-wetting,overflow incontinence,stress incontinence,urge incontinence","ночное недержание мочи,переливное недержание мочи,стрессовое недержание мочи,позывное недержание мочи",-1
ink-jet printer,a printer that produces characters by projecting electrically charged droplets of ink,bubble jet printer,пузырьковый струйный принтер,-1
rifleman,a soldier whose weapon is a rifle,carbineer,Карабинер,-1
abandonment,the act of giving something up,"apostasy,bolt,exposure","вероотступничество,болт,воздействие",-1
foxtail,-,foxtail millet,PROSO GERMANSKOE,-1
aortitis,inflammation of the aorta,rheumatic aortitis,ревматический аортит,-1
Norwegian monetary unit,monetary unit in Norway,Norwegian krone,Норвежская крона,-1
brokerage account,-,cash account,ДЕНЕЖНЫЙ СЧЕТ,-1
baked potato,potato that has been cooked by baking it in an oven,jacket potato,Картофель в мундире,-1
fang,an appendage of insects that is capable of injecting venom; usually evolved from the legs,toxicognath,toxicognath,-1
militant,a militant reformer,"Black Muslim,Black Panther","Черный мусульманин,Черная пантера",-1
margarine,a spread made chiefly from vegetable oils and used as a substitute for butter,stick,зубчик,-1
dispersion,the act of dispersing or diffusing something,crop-dusting,пылеулавливание,-1
woody plant,-,tree,дерево,-1
program,an announcement of the events that will occur as part of a theatrical or sporting event,racecard,гоночная карта,-1
bleach,the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent),etiolation,DEETIOLIROVANIE,-1
hairdo,-,wave,волна,-1
transformer,-,step-up transformer,повышающий трансформатор,-1
"woman,head of household",an adult female person (as opposed to a man),matriarch,matriarch,-1
vanilla,any of numerous climbing plants of the genus Vanilla having fleshy leaves and clusters of large waxy highly fragrant white or green or topaz flowers,vanilla orchid,ванильная орхидея,-1
dilator,a drug that causes dilation,vasodilator,SOSUDORASSHIRIAIUSHCHIE SREDSTVA,-1
Chinese,a native or inhabitant of Communist China or of Nationalist China,"Boxer,chink","Боксер,чинк",-1
big cat,-,saber-toothed tiger,саблезубый тигр,-1
comb,any of several tools for straightening fibers,hatchel,hatchel,-1
packrat,any of several bushy-tailed rodents of the genus Neotoma of western North America; hoards food and other objects,dusky-footed woodrat,вудрат с темными ногами,-1
one-step,an early ballroom dance; precursor to the fox-trot,turkey trot,индейка рысь,-1
earth science,-,oceanography,Океанография,-1
straight line,-,vector,Вектор,-1
shearing,removing by cutting off or clipping,sheepshearing,стрижка овец,-1
lady's slipper,-,yellow lady's slipper,женские тапочки желтого цвета,-1
thrombocytopenia,a blood disease characterized by an abnormally small number of platelets in the blood,essential thrombocytopenia,эссенциальная тромбоцитопения,-1
sweet pepper,large mild crisp thick-walled capsicum peppers usually bell-shaped or somewhat oblong; commonly used in salads,"bell pepper,globe pepper","болгарский перец, перец глобус",-1
cruiser,a large fast warship; smaller than a battleship and larger than a destroyer,battle cruiser,линейный крейсер,-1
bun,-,onion roll,рулет с луком,-1
oxide,-,trioxide,триоксид,-1
labor contract,contract between labor and management governing wages and benefits and working conditions,yellow-dog contract,контракт с желтой собакой,-1
creditor,a person to whom money is owed by a debtor; someone to whom an obligation exists,mortgagee,залогодержатель; кредитор по закладной,-1
depressive disorder,-,major depressive episode,большой депрессивный эпизод,-1
hate,-,misoneism,мизонеизм,-1
polyp,a small vascular growth on the surface of a mucous membrane,adenomatous polyp,ADENOMATOZNYE POLIPY,-1
"workhorse,pack animal",a horse used for plowing and hauling and other heavy labor,packhorse,пакхорс,-1
train fare,the fare charged for traveling by train,subway fare,стоимость проезда в метро,-1
epistemology,the philosophical theory of knowledge,methodology,проекта (РКП),-1
"excavation,storage space",a hole in the ground made by excavating,root cellar,Погреб,-1
playing card,-,suit,костюм,-1
"exteroception,modality",sensitivity to stimuli originating outside of the body,smell,пахнуть,-1
sovereign,-,king,король,-1
sensitivity,the ability to respond to physical stimuli or to register small physical amounts or differences,frequency response,Частотная характеристика,-1
technology,-,rail technology,рельсовая технология,-1
jewelry,-,pin,пин-код,-1
"consumer goods,covering",goods (as food or clothing) intended for direct use or consumption,clothing,clothing,-1
writ,-,warrant,складская расписка; варрант; залоговое свидетельство; товарная квитанция; подписной сертификат,-1
reed stop,an organ stop with the tone of a reed instrument,vox humana,vox humana,-1
timekeeping,the act or process of determining the time,anachronism,Анахронизм,-1
volume unit,-,metric capacity unit,единица метрической мощности,-1
atmospheric phenomenon,-,storm,шторм,-1
pulse counter,an electronic counter that counts the number of electric pulses,scaler,&amp; Метод масштабирования,-1
membership card,a card certifying membership in an organization,union card,профсоюзная карта,-1
rookery,a breeding ground for gregarious birds (such as rooks),heronry,херонри,-1
vertebrate,-,tetrapod,тетрапод,-1
spelling,forming words with letters according to the principles underlying accepted usage,misspelling,опечатка,-1
possibility,a possible alternative,possible,возможно,-1
depression,pushing down,click,клик,-1
shading,graded markings that indicate light or shaded areas in a drawing or painting,hatch,люк,-1
self-pollination,fertilization by transfer of pollen from the anthers to the stigma of the same flower,cleistogamy,Клейстогамия,-1
science,-,systematics,KLASSIFIKATSIIA,-1
kudu,either of two spiral-horned antelopes of the African bush,greater kudu,большая куду,-1
doctor's degree,-,Doctor of Philosophy,Доктор философии,-1
country house,a house (usually large and impressive) on an estate in the country,"chateau,dacha,shooting lodge,summer house,villa,villa","замок,дача,тир,летний домик,вилла,вилла",-1
